# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.000000,1.004661,0.000000,-0.000000,0.713249,-0.918011,0.553227,-0.164298,0.019101,1.560258,0.000000,0.000000,3.272733,-6.172172,4.654153,-1.609040,0.211261,0.209049,-0.000000,-0.000000,0.315808,-0.501061,0.323036,-0.095104,0.010561,-0.118881,0.000000,-0.000000,-6.788937,12.602864,-9.538954,3.312539,-0.436496
2.000000,1.655606,0.452899,-0.090103,-0.092716,0.130334,-0.125199,0.052669,-0.007853,1.983171,-0.195024,-0.365411,0.921469,-1.366058,0.950269,-0.308569,0.038300,0.320831,0.069956,-0.015736,-0.073737,0.179862,-0.147608,0.052476,-0.006888,-1.900115,-0.834791,0.302601,-1.955914,3.164974,-2.283275,0.773320,-0.100271
2.000000,1.903950,-0.270773,-0.170593,-0.028358,0.110786,-0.058765,0.014276,-0.001279,1.208855,-0.378380,0.080312,0.080492,0.118889,-0.178906,0.082627,-0.013099,0.438981,0.058473,0.015081,-0.000540,-0.043072,0.048223,-0.019880,0.002868,-3.773988,-0.922014,0.079388,-0.387512,0.545511,-0.348186,0.104650,-0.012028
2.000000,1.095225,-0.281463,0.183702,0.075259,-0.082426,0.048326,-0.015446,0.001856,1.206042,0.397041,0.132477,-0.239424,0.343462,-0.267356,0.093101,-0.012025,0.560615,0.059494,-0.008307,0.008816,0.010721,-0.018783,0.008891,-0.001381,-5.656247,-0.948626,0.025251,0.057749,-0.218900,0.221293,-0.092133,0.013816
2.000000,1.345853,0.450894,0.063527,-0.082916,0.034937,-0.027659,0.010103,-0.001243,1.973937,0.144492,-0.185789,-0.023596,-0.074980,0.112878,-0.050675,0.007814,0.679611,0.060759,0.004869,-0.007705,-0.002431,0.008635,-0.004541,0.000738,-7.539567,-0.955861,-0.005812,0.154103,-0.276922,0.200691,-0.065755,0.008087
2.000000,1.999771,-0.001950,-0.218963,0.010483,-0.006165,0.015524,-0.004953,0.000473,1.500424,-0.479810,-0.007564,0.159583,-0.134378,0.076778,-0.020178,0.001741,0.800232,0.059553,-0.002770,0.005009,-0.000317,-0.003347,0.001992,-0.000341,-9.423516,-0.937985,-0.018608,-0.025554,0.100446,-0.092371,0.034529,-0.004639
2.000000,1.345591,-0.446373,0.067090,0.054546,0.017590,-0.018682,0.004963,-0.000495,1.025560,0.153019,0.194566,-0.097646,0.197041,-0.191844,0.075251,-0.010666,0.919955,0.060235,0.000641,-0.003809,0.004911,-0.002213,0.000199,0.000053,-11.310962,-0.943013,0.018837,0.010098,-0.101972,0.117950,-0.051736,0.007931
2.000000,1.095475,0.276057,0.180560,-0.035022,-0.027994,0.015291,-0.005131,0.000793,1.793100,0.386965,-0.117400,-0.128054,0.095745,-0.035324,0.003621,0.000671,1.039796,0.059138,0.001939,0.008422,-0.018637,0.012548,-0.003223,0.000236,-13.193901,-0.953676,-0.018715,0.076072,0.008066,-0.114198,0.077532,-0.015182
2.000000,1.904210,0.275719,-0.176532,-0.024073,-0.028479,0.034540,-0.010860,0.001126,1.792154,-0.385629,-0.093983,0.179912,-0.509718,0.585161,-0.269803,0.043984,1.160478,0.062277,-0.006016,-0.022393,0.061840,-0.052986,0.019089,-0.002485,-15.074125,-0.908989,-0.099443,-0.524343,1.681471,-1.713241,0.736501,-0.114709
2.000000,1.655665,-0.447964,-0.090779,0.022854,0.256751,-0.313678,0.150764,-0.025740,1.016437,-0.198196,0.369491,0.971048,-3.102502,3.199392,-1.389966,0.217120,1.279296,0.061193,0.016185,0.015403,-0.156987,0.208337,-0.102570,0.017275,-16.951440,-0.832386,-0.273491,-1.998943,6.238721,-6.404320,2.771809,-0.432070
